paper_id	variable	decision_code	auto_reason	proposed_rule_id
28	MethodFamily_codes	102	AUTO(majority 3/4)	909
32	MethodFamily_codes	102	AUTO(majority 3/4)	909
34	MethodFamily_codes	102	AUTO(majority 3/4)	909
37	MethodFamily_codes	102	AUTO(majority 3/4)	909
38	MethodFamily_codes	102	AUTO(majority 3/4)	909
57	MethodFamily_codes	102	AUTO(majority 3/4)	909
60	MethodFamily_codes	102	AUTO(majority 3/4)	909
62	MethodFamily_codes	102	AUTO(majority 3/4)	909
16	MethodTransparency_codes	1	AUTO(majority 3/4)	909
18	MethodTransparency_codes	1	AUTO(majority 3/4)	909
19	MethodTransparency_codes	1	AUTO(majority 3/4)	909
34	MethodTransparency_codes	1	AUTO(majority 3/4)	909
51	MethodTransparency_codes	2	AUTO(majority 3/4)	909
52	MethodTransparency_codes	2	AUTO(majority 3/4)	909
53	MethodTransparency_codes	2	AUTO(majority 3/4)	909
54	MethodTransparency_codes	2	AUTO(majority 3/4)	909
55	MethodTransparency_codes	2	AUTO(majority 3/4)	909
58	MethodTransparency_codes	2	AUTO(majority 3/4)	909
14	Methodology_codes	3	AUTO(majority 3/4)	909
18	Methodology_codes	3	AUTO(majority 3/4)	909
26	Methodology_codes	3	AUTO(majority 3/4)	909
28	Methodology_codes	3	AUTO(majority 3/4)	909
32	Methodology_codes	3	AUTO(majority 3/4)	909
34	Methodology_codes	3	AUTO(majority 3/4)	909
37	Methodology_codes	3	AUTO(majority 3/4)	909
38	Methodology_codes	3	AUTO(majority 3/4)	909
45	Methodology_codes	3	AUTO(majority 3/4)	909
54	Methodology_codes	3	AUTO(majority 3/4)	909
56	Methodology_codes	3	AUTO(majority 3/4)	909
57	Methodology_codes	3	AUTO(majority 3/4)	909
60	Methodology_codes	3	AUTO(majority 3/4)	909
62	Methodology_codes	3	AUTO(majority 3/4)	909
14	MethodTag_codes	20	AUTO(majority 3/4)	909
18	MethodTag_codes	20	AUTO(majority 3/4)	909
19	MethodTag_codes	20	AUTO(majority 3/4)	909
26	MethodTag_codes	20	AUTO(majority 3/4)	909
28	MethodTag_codes	20	AUTO(majority 3/4)	909
32	MethodTag_codes	20	AUTO(majority 3/4)	909
34	MethodTag_codes	20	AUTO(majority 3/4)	909
37	MethodTag_codes	20	AUTO(majority 3/4)	909
38	MethodTag_codes	20	AUTO(majority 3/4)	909
45	MethodTag_codes	20	AUTO(majority 3/4)	909
51	MethodTag_codes	20	AUTO(majority 3/4)	909
52	MethodTag_codes	20	AUTO(majority 3/4)	909
53	MethodTag_codes	20	AUTO(majority 3/4)	909
54	MethodTag_codes	20	AUTO(majority 3/4)	909
55	MethodTag_codes	20	AUTO(majority 3/4)	909
56	MethodTag_codes	20	AUTO(majority 3/4)	909
57	MethodTag_codes	20	AUTO(majority 3/4)	909
60	MethodTag_codes	20	AUTO(majority 3/4)	909
62	MethodTag_codes	20	AUTO(majority 3/4)	909
13	MethodNormativity_codes	1	AUTO(majority 3/4)	909
14	MethodNormativity_codes	2	AUTO(majority 3/4)	909
16	MethodNormativity_codes	2	AUTO(majority 3/4)	909
19	MethodNormativity_codes	2	AUTO(majority 3/4)	909
26	MethodNormativity_codes	2	AUTO(majority 3/4)	909
28	MethodNormativity_codes	2	AUTO(majority 3/4)	909
32	MethodNormativity_codes	2	AUTO(majority 3/4)	909
37	MethodNormativity_codes	2	AUTO(majority 3/4)	909
38	MethodNormativity_codes	2	AUTO(majority 3/4)	909
45	MethodNormativity_codes	2	AUTO(majority 3/4)	909
51	MethodNormativity_codes	2	AUTO(majority 3/4)	909
52	MethodNormativity_codes	2	AUTO(majority 3/4)	909
53	MethodNormativity_codes	2	AUTO(majority 3/4)	909
55	MethodNormativity_codes	2	AUTO(majority 3/4)	909
56	MethodNormativity_codes	2	AUTO(majority 3/4)	909
57	MethodNormativity_codes	2	AUTO(majority 3/4)	909
58	MethodNormativity_codes	2	AUTO(majority 3/4)	909
60	MethodNormativity_codes	2	AUTO(majority 3/4)	909
62	MethodNormativity_codes	2	AUTO(majority 3/4)	909
65	MethodNormativity_codes	2	AUTO(majority 3/4)	909
